iter	Passed	Remaining
0	74	74590
1	99	49557
2	130	43386
3	153	38307
4	158	31478
5	169	28015
6	178	25308
7	188	23370
8	196	21690
9	207	20527
10	216	19458
11	228	18846
12	239	18159
13	247	17445
14	258	16951
15	277	17091
16	285	16525
17	293	15998
18	302	15604
19	322	15810
20	331	15443
21	338	15044
22	343	14608
23	352	14343
24	360	14076
25	368	13808
26	380	13728
27	389	13528
28	397	13315
29	407	13184
30	415	12982
31	424	12833
32	431	12642
33	438	12466
34	445	12291
35	453	12141
36	462	12036
37	472	11958
38	483	11904
39	491	11798
40	500	11702
41	508	11594
42	516	11504
43	525	11423
44	534	11344
45	543	11274
46	555	11261
47	563	11176
48	572	11109
49	580	11034
50	588	10952
51	608	11093
52	624	11166
53	639	11198
54	649	11158
55	657	11076
56	665	11010
57	675	10976
58	684	10914
59	692	10843
60	700	10786
61	708	10722
62	719	10700
63	727	10641
64	735	10582
65	745	10545
66	753	10499
67	770	10553
68	777	10497
69	792	10528
70	800	10480
71	812	10466
72	820	10425
73	829	10376
74	837	10324
75	845	10279
76	853	10232
77	862	10197
78	871	10161
79	881	10135
80	889	10090
81	898	10061
82	906	10011
83	914	9969
84	922	9925
85	945	10045
86	953	10002
87	961	9964
88	969	9920
89	977	9887
90	985	9848
91	993	9806
92	1001	9763
93	1009	9727
94	1016	9685
95	1024	9647
96	1032	9612
97	1040	9575
98	1048	9539
99	1056	9510
100	1064	9475
101	1072	9442
102	1079	9405
103	1097	9451
104	1113	9489
105	1121	9459
106	1132	9449
107	1141	9426
108	1150	9404
109	1158	9369
110	1166	9339
111	1174	9310
112	1182	9282
113	1193	9274
114	1201	9248
115	1209	9217
116	1218	9194
117	1227	9171
118	1235	9144
119	1243	9116
120	1267	9208
121	1276	9187
122	1284	9159
123	1292	9129
124	1299	9099
125	1307	9070
126	1315	9044
127	1323	9016
128	1331	8990
129	1341	8977
130	1350	8957
131	1359	8938
132	1373	8956
133	1381	8929
134	1389	8905
135	1398	8881
136	1405	8854
137	1415	8843
138	1423	8814
139	1433	8807
140	1441	8781
141	1449	8758
142	1469	8806
143	1477	8781
144	1485	8759
145	1493	8736
146	1501	8713
147	1509	8688
148	1517	8666
149	1526	8648
150	1533	8623
151	1541	8599
152	1562	8652
153	1571	8630
154	1578	8605
155	1595	8631
156	1604	8612
157	1618	8627
158	1627	8606
159	1634	8583
160	1643	8564
161	1651	8540
162	1658	8515
163	1665	8490
164	1673	8470
165	1681	8449
166	1689	8429
167	1697	8406
168	1705	8386
169	1714	8370
170	1723	8353
171	1731	8337
172	1740	8319
173	1748	8297
174	1757	8283
175	1765	8265
176	1773	8245
177	1781	8227
178	1789	8208
179	1797	8188
180	1805	8167
181	1813	8149
182	1821	8130
183	1829	8114
184	1837	8095
185	1856	8126
186	1865	8108
187	1872	8088
188	1880	8070
189	1888	8052
190	1896	8032
191	1904	8015
192	1912	7998
